,model_name,word,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20,top_21,top_22,top_23,top_24,top_25,top_26,top_27,top_28,top_29,top_30,top_31,top_32,top_33,top_34,top_35,top_36,top_37,top_38,top_39,top_40,top_41,top_42,top_43,top_44,top_45,top_46,top_47,top_48,top_49,top_50,top_51,top_52,top_53,top_54,top_55,top_56,top_57,top_58,top_59,top_60,top_61,top_62,top_63,top_64,top_65,top_66,top_67,top_68,top_69,top_70,top_71,top_72,top_73,top_74,top_75,top_76,top_77,top_78,top_79,top_80,top_81,top_82,top_83,top_84,top_85,top_86,top_87,top_88,top_89,top_90,top_91,top_92,top_93,top_94,top_95,top_96,top_97,top_98,top_99,top_100
10,20,other,telnet,tubas,domine,hochschule,generative,mbox,fecal,belmont,occ,neighbors,honky,collector,disagreed,washes,mycology,excepting,insecticide,rinse,bowlers,irina,remnants,barclay,taming,primo,lithographs,seminole,inflatable,bulky,mary,substitute,perugia,dimethyl,prostrate,bowled,homilies,pfp,reuven,hangs,monotonicity,avram,prototypes,eroded,raining,magnolia,financiers,labarum,xof,airstream,contenders,licklider,majuro,diarrhoea,rhythmically,distributed,decker,cosa,lambert,oblong,legends,grammys,morgue,felt,walsingham,desmond,disseminated,carlo,inland,determines,informers,ass,recombine,bulge,stormy,supercharged,orchards,hominid,southampton,cafeteria,tradeoff,hotels,valiantly,mie,flunitrazepam,activator,austrasia,extensions,courson,harpists,baffin,wail,rosslyn,posner,isdb,davidian,renewal,captains,cerevisiae,repetition,scsi,moroni
11,200,been,paige,winsor,distrust,deceiving,fucking,geospatial,vulgate,concepci,atreus,young,shaftesbury,modulate,guinea,col,brontosaurus,octahedra,gynt,alleles,corsairs,wilmut,lamp,ginsberg,montgomery,propellers,ahasuerus,classicists,portsmouth,breads,chaffee,sayers,maxims,frideric,darby,baleen,libby,hyi,aileen,sideline,caste,marble,disastrous,psychotropic,bosman,protease,xbox,standout,enrich,peripheral,interferon,score,francois,nanyang,savoury,assigns,eases,dangers,bes,regulates,narration,rosso,lom,sandworms,ishaq,inline,informal,jena,isc,selection,bought,leste,arrian,cypher,interpreting,differentiating,ringo,hydrogenation,suffragette,deceit,shane,scrupulous,cheapest,access,flash,bains,wounding,scone,amis,martel,samsung,kitty,flirty,shave,kampf,hostilities,pf,genuinely,affective,extrinsic,screws,stared
12,200,time,musical,humps,burning,ostrich,ttel,kemal,tart,jscript,curtis,walls,theodora,ely,toolkit,barometer,tackling,convertible,calibre,lagi,behavioral,ideograms,armando,mutualism,tl,suits,moorcock,pap,grasp,consecration,homme,satisfied,geographical,amusement,aglaulus,esters,legion,toil,forgave,nonsignatory,rearranging,breisgau,erlbaum,cameras,nor,ik,obe,warning,oup,flatly,ppm,caltrans,woman,camelopardalis,keitel,myrrh,swells,tupolev,blockaded,wm,proposition,wheels,operations,hobbit,pilgrims,wilfred,introduction,packed,hillsborough,madrid,ulrich,announcing,again,panacea,rei,impressionism,dispersion,sheepdog,lymphocytes,oceania,emeralds,communicates,porfirio,grohl,shit,patterning,carrera,herbicide,boomerang,alkynes,sony,baffin,passos,croft,syllabic,lactic,zapotec,peseta,trailed,dreadful,firstly,intentions
13,200,over,edd,greenberg,chords,succession,heine,inspires,geophysics,stella,heath,gne,confirms,arminius,vitamins,cromarty,cohort,icbms,tempering,petropavlovsk,belvedere,armand,burgundy,kim,knowingly,forties,ontario,primality,impatience,mints,neurotransmitters,ghidorah,ashkenazi,azali,pea,equations,embraced,sustained,afrikaners,dandelion,monism,satirize,dam,ibo,outreach,looms,westminster,roof,qualified,wa,lapd,frequent,wearer,strangeness,judicious,transcending,transactional,hypostasis,federal,silk,wharton,encrypt,gout,swallowing,studs,moctezuma,molly,phane,allude,denizens,ubangi,officiate,jumper,mysteries,mmorpgs,tribulations,subscribe,hit,circumventing,inbound,booster,evict,bethlehem,bijelo,boasted,fry,swapped,greeting,flaubert,flywheel,hypoxia,citing,move,jayne,attractor,writing,acceptance,differentiation,amalthea,blackboard,parse,syndicated
14,200,not,der,pestis,emphasized,ezekiel,luanda,autocorrelation,gh,huntington,enlargement,kyanite,tremendous,nord,forbidding,glyph,petit,rimini,pitcairn,duomo,isoleucine,politics,germinal,weep,toed,specialisation,richmond,softer,arif,washtenaw,fiber,aerodynamics,lauter,deal,harbin,canterbury,smoker,jetty,pavel,denoting,congruent,molecular,anxieties,monocots,enslaved,jeroboam,pawn,macaulay,glacial,andhra,connectors,sarcasm,intellectuals,xy,nathaniel,archetypical,cornwallis,tentacle,horsepower,coordination,togo,isle,tristan,deacidification,cub,hemorrhage,silly,itunes,restroom,bait,bca,cornwall,merkle,ears,staggering,tre,actuarial,exempted,heathers,pavlov,derivations,kendall,kievan,penultimate,divide,repulse,bijections,beggar,crimson,headway,fool,canisters,sulaiman,walton,dash,sharps,discounts,arrow,unam,entombed,chemists,francesca
15,200,three,actor,ridgway,forks,guerrillas,lunda,curly,prospectors,tora,goodman,captivity,boasts,parse,uat,loving,neighbour,yahoo,diomedes,probably,swedish,one,branched,relic,pln,miura,nomenclature,celsius,lasi,latinos,tantamount,sexuality,carnal,fouling,prohibit,medford,ibero,hplc,duo,recombination,aedui,kushner,omaha,abet,wied,chaste,cpm,tracked,adenylate,westwood,tempos,monism,commentarii,reindeer,priestess,escarpment,grammarian,placement,cardinal,yastrzemski,flop,ayin,filmmaker,instance,danielle,mortal,domestication,carbonyl,accommodate,mutilation,devises,noyce,almaty,listened,steroid,reintroduced,stating,nndb,rsync,neuroscientist,pnc,perseverance,spline,mucus,culmination,bengali,wrongs,menelik,osamu,greens,anthrax,reuss,dodge,unfavorable,unreachable,taunus,aid,aragonese,surprising,unexpectedly,reductionist,kur
16,200,between,flunitrazepam,trending,alleviating,accusation,avid,lom,rosicrucians,lynx,humboldt,palate,anticonvulsants,duopoly,generality,worst,physica,accentual,delicacies,mehmet,acth,nutcracker,lifestyle,wanna,blooming,exercising,sabre,hein,purpose,congregation,confused,iww,crematoria,inconspicuous,cutting,predicament,quadrivium,sparc,motivates,gestation,ccc,shocks,salam,bessel,campbell,malo,clarion,lomo,despite,kilda,disabled,salvadoran,oed,mccarthyism,peruvian,fc,frederik,chief,salish,mohair,letter,dpp,auld,corned,ishvara,danner,allosteric,comprehensive,whey,euphonium,aam,asdb,clutches,uncomplicated,young,slogans,foreskin,expunged,melissa,huntley,breed,gabon,sitcom,mammals,constipation,assault,hadassah,parque,americanization,drying,gobind,leitch,bounces,overly,foul,engagements,oz,pompey,beaufort,scholastics,omit,persona
17,200,from,posthumously,kildall,cocteau,sst,privatize,justinian,premillennialism,remy,studded,gondwana,ship,disrepair,cream,whims,epiphenomenalism,lithuanians,northside,kelley,spotter,reduplication,impair,baltimore,apollinaris,mundane,fv,dryness,compulsory,follower,zuse,surnamed,altos,asylum,wushu,xxv,dissenters,illyricum,midline,counts,lagrand,decorator,moss,ingeborg,jugnauth,drills,anger,assembly,occultists,kills,bakongo,organometallic,proprietor,outlaws,stakeholders,dissuade,talmadge,empathy,shaku,czechs,theatrically,pieced,disdain,philippi,proportional,espn,amber,adic,charisma,sava,softball,ofcom,pissarro,burn,illusory,lawsuit,specimens,handbook,timid,electromotive,acadian,adr,avenues,clarence,prescription,possessor,consecrated,submitted,mistreated,belgium,mistranslation,elisabeth,rollins,lewis,economical,graphing,pomerania,dorothy,lopez,plata,bae,egan
18,200,eight,transfection,coordinators,kindred,integrator,cite,mitigate,vip,indulgences,vacant,schoolboy,personification,diet,simcity,fleeting,farina,hmso,liddell,sparkle,magneto,ears,xiv,dist,lana,nav,circumnavigate,shin,umbilical,tobin,fig,goalkeeper,showcased,ufa,hollis,heysel,sarawak,integrate,asymptotes,aural,tremendously,fredericksburg,consisted,disassembled,gen,larp,arles,manifests,lindbergh,teens,platonic,islands,porphyry,kut,marxists,disjoint,silenced,aching,platoon,circumvented,triples,discharged,streamline,turbulent,tentatively,hydrophobic,troubles,collectible,deserve,guignol,faraday,dougherty,yorke,rattle,violation,fundraising,eileen,homebrew,daredevil,wally,burgundy,meaningful,recognise,outtakes,kumar,climate,forma,corresponded,cti,instruction,bally,subpixels,avar,compton,holloway,islamabad,horn,siouxsie,autistics,andorra,brownish,nba
19,200,they,monorail,tienne,lesbian,effort,introspection,excavated,macedon,sulphate,riel,choruses,boasts,bulgar,microscopic,plot,fukuyama,errico,planetarium,academically,props,giorgio,epimenides,likeness,hogeschool,punctured,bureau,apostrophe,ballistics,smuggling,bambara,staples,crystals,temperaments,passenger,frederick,marlborough,burgeoning,mindset,breakthrough,problem,gunn,disguising,clad,academie,painters,dorian,hoppers,comptroller,lumley,lizard,hubris,fishery,inc,idealism,successive,avalanche,renn,brine,vita,gotthold,mingling,willingness,chesterton,zion,disrupt,aphelion,soaps,tsim,sgi,nieces,odense,trapdoor,lorraine,qu,berthold,cinemas,huguenots,ideogram,electrodes,crippled,matejko,renditions,darwin,garbled,pharisees,monologue,corned,eisenhower,bbbb,logically,performing,eaton,kankan,partement,operetta,adamant,yuen,isolates,hears,giver,misheard
20,200,more,foetus,porous,aristocratic,mabo,qutb,kibo,situational,remarried,scouts,harmonize,pardons,cannibalistic,choral,begs,unnecessarily,islands,scots,samadhi,ditch,pound,describes,unbeknownst,scanned,corporatist,remnants,disrespect,bitmaps,rasmussen,sena,unworthy,exocet,chained,wrecking,pleistocene,boney,capricorn,whether,amy,gums,hymnody,lured,enumerative,directors,employers,marina,copernicus,vlsi,shoghi,cereal,neighbourhoods,regum,bucky,codify,baseman,foy,widens,recast,rump,parisians,wee,gamecube,culminate,vestigial,hazael,toleration,bl,stags,spontaneous,afdb,dormancy,runge,coach,treeless,fate,rabbah,danced,tursiops,kawasaki,boyne,helix,director,tanenbaum,popularization,prophesied,roadway,terabytes,utopian,ei,codeword,outfitted,bissette,dowleh,noise,perimeter,escu,beneficiary,mesons,lx,timescales,flows
21,200,other,telnet,tubas,domine,hochschule,generative,mbox,fecal,belmont,occ,neighbors,honky,collector,disagreed,washes,mycology,excepting,insecticide,rinse,bowlers,irina,remnants,barclay,taming,primo,lithographs,seminole,bulky,inflatable,mary,substitute,perugia,dimethyl,prostrate,bowled,homilies,pfp,reuven,hangs,monotonicity,avram,prototypes,eroded,raining,magnolia,financiers,airstream,labarum,xof,licklider,contenders,majuro,diarrhoea,rhythmically,distributed,cosa,decker,lambert,oblong,legends,grammys,morgue,felt,walsingham,desmond,disseminated,carlo,inland,determines,informers,ass,recombine,bulge,stormy,supercharged,orchards,hominid,southampton,hotels,tradeoff,cafeteria,valiantly,mie,flunitrazepam,activator,austrasia,extensions,courson,harpists,baffin,wail,rosslyn,posner,isdb,davidian,renewal,captains,cerevisiae,repetition,scsi,moroni
22,500,been,paige,winsor,distrust,deceiving,fucking,geospatial,vulgate,concepci,atreus,young,shaftesbury,modulate,guinea,col,brontosaurus,octahedra,alleles,gynt,corsairs,wilmut,lamp,ginsberg,montgomery,propellers,ahasuerus,classicists,portsmouth,breads,chaffee,sayers,maxims,frideric,darby,baleen,libby,hyi,aileen,sideline,caste,marble,disastrous,psychotropic,bosman,protease,xbox,standout,enrich,peripheral,interferon,score,francois,nanyang,savoury,assigns,eases,dangers,bes,regulates,rosso,narration,lom,sandworms,ishaq,inline,informal,jena,isc,selection,bought,leste,cypher,arrian,interpreting,differentiating,ringo,hydrogenation,suffragette,deceit,shane,scrupulous,cheapest,access,flash,bains,wounding,scone,amis,martel,samsung,flirty,kitty,shave,kampf,hostilities,pf,genuinely,affective,screws,extrinsic,stared
23,500,time,musical,humps,burning,ostrich,ttel,kemal,tart,jscript,curtis,walls,theodora,ely,toolkit,barometer,tackling,convertible,calibre,lagi,behavioral,ideograms,armando,mutualism,tl,suits,moorcock,pap,grasp,consecration,homme,satisfied,geographical,amusement,aglaulus,esters,legion,toil,forgave,nonsignatory,rearranging,breisgau,erlbaum,cameras,nor,obe,ik,warning,oup,flatly,ppm,caltrans,woman,camelopardalis,keitel,myrrh,swells,tupolev,wm,blockaded,proposition,operations,wheels,hobbit,pilgrims,wilfred,introduction,packed,hillsborough,madrid,ulrich,announcing,again,panacea,rei,dispersion,impressionism,sheepdog,lymphocytes,oceania,emeralds,communicates,porfirio,grohl,patterning,shit,carrera,boomerang,alkynes,herbicide,baffin,passos,croft,sony,syllabic,lactic,zapotec,trailed,peseta,firstly,dreadful,intentions
24,500,over,edd,greenberg,chords,succession,heine,inspires,geophysics,stella,heath,gne,confirms,arminius,vitamins,cromarty,cohort,icbms,tempering,petropavlovsk,belvedere,armand,burgundy,kim,knowingly,forties,ontario,primality,impatience,mints,neurotransmitters,ghidorah,ashkenazi,azali,pea,equations,embraced,sustained,afrikaners,dandelion,monism,satirize,ibo,dam,outreach,looms,westminster,roof,qualified,wa,lapd,frequent,wearer,strangeness,judicious,transcending,transactional,hypostasis,silk,federal,wharton,encrypt,gout,swallowing,studs,moctezuma,molly,phane,allude,denizens,ubangi,officiate,jumper,mysteries,mmorpgs,tribulations,subscribe,hit,circumventing,inbound,evict,booster,bethlehem,bijelo,boasted,fry,swapped,flywheel,flaubert,greeting,hypoxia,citing,move,jayne,attractor,acceptance,writing,differentiation,amalthea,blackboard,parse,syndicated
25,500,not,der,pestis,emphasized,ezekiel,luanda,autocorrelation,gh,huntington,enlargement,kyanite,tremendous,nord,forbidding,glyph,petit,rimini,pitcairn,duomo,isoleucine,politics,germinal,weep,toed,specialisation,richmond,softer,arif,washtenaw,fiber,aerodynamics,lauter,deal,harbin,canterbury,smoker,jetty,pavel,denoting,congruent,molecular,anxieties,monocots,jeroboam,enslaved,pawn,macaulay,glacial,andhra,connectors,sarcasm,intellectuals,xy,nathaniel,archetypical,cornwallis,tentacle,horsepower,togo,coordination,isle,cub,tristan,hemorrhage,deacidification,silly,itunes,bait,restroom,bca,cornwall,merkle,ears,staggering,actuarial,exempted,tre,heathers,pavlov,derivations,kendall,penultimate,kievan,divide,repulse,bijections,beggar,crimson,headway,fool,canisters,sulaiman,walton,dash,sharps,discounts,arrow,unam,chemists,entombed,francesca
26,500,three,actor,ridgway,forks,guerrillas,lunda,curly,prospectors,tora,goodman,captivity,boasts,parse,uat,loving,neighbour,yahoo,one,diomedes,swedish,probably,relic,branched,pln,miura,nomenclature,celsius,lasi,tantamount,latinos,sexuality,fouling,carnal,prohibit,medford,ibero,aedui,hplc,recombination,duo,omaha,kushner,abet,wied,chaste,cpm,tracked,adenylate,westwood,tempos,monism,commentarii,reindeer,escarpment,priestess,grammarian,placement,flop,cardinal,yastrzemski,ayin,filmmaker,danielle,instance,domestication,mortal,carbonyl,accommodate,mutilation,noyce,devises,almaty,reintroduced,nndb,listened,steroid,rsync,stating,perseverance,neuroscientist,spline,pnc,culmination,bengali,mucus,greens,menelik,osamu,wrongs,anthrax,reuss,unfavorable,dodge,unreachable,aid,taunus,aragonese,surprising,reductionist,repairing,unexpectedly
27,500,between,flunitrazepam,trending,alleviating,accusation,avid,lom,rosicrucians,lynx,humboldt,palate,anticonvulsants,duopoly,generality,worst,physica,accentual,delicacies,mehmet,acth,nutcracker,lifestyle,wanna,blooming,exercising,sabre,hein,purpose,congregation,confused,iww,crematoria,inconspicuous,cutting,predicament,quadrivium,sparc,motivates,gestation,ccc,shocks,salam,bessel,malo,campbell,clarion,lomo,despite,kilda,disabled,salvadoran,oed,peruvian,mccarthyism,fc,frederik,chief,salish,letter,mohair,dpp,auld,corned,ishvara,danner,allosteric,comprehensive,whey,euphonium,aam,asdb,clutches,uncomplicated,young,slogans,foreskin,expunged,melissa,breed,huntley,gabon,sitcom,mammals,constipation,assault,hadassah,parque,americanization,drying,gobind,leitch,bounces,overly,foul,engagements,oz,pompey,beaufort,scholastics,persona,omit
28,500,from,posthumously,kildall,cocteau,sst,privatize,justinian,premillennialism,remy,studded,gondwana,ship,disrepair,cream,whims,epiphenomenalism,lithuanians,northside,kelley,spotter,reduplication,impair,baltimore,apollinaris,mundane,fv,dryness,compulsory,follower,zuse,surnamed,altos,asylum,wushu,dissenters,xxv,illyricum,midline,counts,lagrand,decorator,moss,ingeborg,jugnauth,drills,anger,assembly,occultists,kills,bakongo,organometallic,proprietor,outlaws,stakeholders,dissuade,empathy,talmadge,czechs,shaku,theatrically,pieced,disdain,philippi,proportional,espn,amber,adic,charisma,softball,sava,ofcom,pissarro,burn,illusory,lawsuit,specimens,handbook,electromotive,timid,acadian,prescription,adr,possessor,avenues,clarence,consecrated,submitted,belgium,mistreated,rollins,economical,mistranslation,lewis,elisabeth,graphing,dorothy,pomerania,lopez,plata,bae,egan
29,500,eight,transfection,coordinators,kindred,integrator,cite,mitigate,vip,vacant,indulgences,schoolboy,personification,diet,farina,hmso,simcity,fleeting,liddell,ears,magneto,dist,lana,xiv,sparkle,nav,circumnavigate,shin,fig,umbilical,tobin,goalkeeper,showcased,ufa,sarawak,heysel,asymptotes,hollis,integrate,aural,tremendously,fredericksburg,consisted,larp,gen,disassembled,manifests,arles,teens,platonic,lindbergh,islands,kut,porphyry,marxists,disjoint,silenced,circumvented,discharged,aching,triples,streamline,platoon,tentatively,deserve,turbulent,faraday,collectible,hydrophobic,guignol,troubles,violation,fundraising,rattle,dougherty,eileen,yorke,wally,daredevil,instruction,homebrew,meaningful,recognise,kumar,burgundy,climate,avar,outtakes,holloway,subpixels,horn,cti,corresponded,bally,forma,siouxsie,islamabad,autistics,compton,andorra,nba,recommends
30,500,they,monorail,tienne,lesbian,effort,introspection,excavated,macedon,sulphate,riel,choruses,boasts,bulgar,plot,microscopic,fukuyama,errico,planetarium,academically,props,giorgio,likeness,epimenides,hogeschool,punctured,bureau,apostrophe,ballistics,smuggling,bambara,staples,crystals,temperaments,passenger,frederick,marlborough,burgeoning,mindset,breakthrough,problem,gunn,disguising,clad,academie,painters,dorian,hoppers,comptroller,lumley,lizard,hubris,fishery,inc,idealism,successive,avalanche,renn,brine,vita,gotthold,mingling,willingness,chesterton,zion,disrupt,aphelion,tsim,soaps,nieces,sgi,odense,trapdoor,lorraine,qu,berthold,cinemas,huguenots,ideogram,electrodes,matejko,crippled,renditions,darwin,garbled,pharisees,monologue,corned,eisenhower,bbbb,logically,performing,eaton,kankan,partement,operetta,adamant,yuen,isolates,hears,giver,misheard
